yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
187101,4.44,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187102,4.5,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.004967,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187103,4.61,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.004525,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187104,4.74,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.004252,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187105,4.86,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.004643,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187106,4.82,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.003698,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187107,4.73,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.003373,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187108,4.79,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.003255,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187109,4.84,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.003713,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187110,4.59,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.004554,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187111,4.64,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.007041,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187112,4.74,0.26,0.4,NaN,NaN,NaN,NaN,NaN,NaN,0.006488,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187201,4.86,0.2633,0.4025,NaN,NaN,NaN,NaN,NaN,NaN,0.006975,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187202,4.88,0.2667,0.405,NaN,NaN,NaN,NaN,NaN,NaN,0.005764,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187203,5.04,0.27,0.4075,NaN,NaN,NaN,NaN,NaN,NaN,0.005218,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187204,5.18,0.2733,0.41,NaN,NaN,NaN,NaN,NaN,NaN,0.006001,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187205,5.18,0.2767,0.4125,NaN,NaN,NaN,NaN,NaN,NaN,0.00603,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187206,5.13,0.28,0.415,NaN,NaN,NaN,NaN,NaN,NaN,0.004953,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187207,5.1,0.2833,0.4175,NaN,NaN,NaN,NaN,NaN,NaN,0.004067,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187208,5.04,0.2867,0.42,NaN,NaN,NaN,NaN,NaN,NaN,0.004399,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187209,4.95,0.29,0.4225,NaN,NaN,NaN,NaN,NaN,NaN,0.005218,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187210,4.97,0.2933,0.425,NaN,NaN,NaN,NaN,NaN,NaN,0.007019,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187211,4.95,0.2967,0.4275,NaN,NaN,NaN,NaN,NaN,NaN,0.007609,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187212,5.07,0.3,0.43,NaN,NaN,NaN,NaN,NaN,NaN,0.008214,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187301,5.11,0.3025,0.4325,NaN,NaN,NaN,NaN,NaN,NaN,0.007631,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187302,5.15,0.305,0.435,NaN,NaN,NaN,NaN,NaN,NaN,0.006488,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187303,5.11,0.3075,0.4375,NaN,NaN,NaN,NaN,NaN,NaN,0.006561,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187304,5.04,0.31,0.44,NaN,NaN,NaN,NaN,NaN,NaN,0.007107,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187305,5.05,0.3125,0.4425,NaN,NaN,NaN,NaN,NaN,NaN,0.008052,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187306,4.98,0.315,0.445,NaN,NaN,NaN,NaN,NaN,NaN,0.005632,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187307,4.97,0.3175,0.4475,NaN,NaN,NaN,NaN,NaN,NaN,0.00468,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187308,4.97,0.32,0.45,NaN,NaN,NaN,NaN,NaN,NaN,0.004392,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187309,4.59,0.3225,0.4525,NaN,NaN,NaN,NaN,NaN,NaN,0.004849,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187310,4.19,0.325,0.455,NaN,NaN,NaN,NaN,NaN,NaN,0.010177,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187311,4.04,0.3275,0.4575,NaN,NaN,NaN,NaN,NaN,NaN,0.011815,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187312,4.42,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.01034,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187401,4.66,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.006871,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187402,4.8,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.00513,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187403,4.73,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.004067,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187404,4.6,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.00417,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187405,4.48,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.004252,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187406,4.46,0.33,0.46,NaN,NaN,NaN,NaN,NaN,NaN,0.003816,NaN,NaN,NaN,NaN,NaN,NaN,NaN
